obj_id,path_background,path_dapi,path_yap,path_actin,height,width,channels,center,eccentricity,center_rot
75,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0075_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0075_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0075_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0075_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([157.11469534]), array([167.52329749]))",[0.94565617],"(423.7218956154943, 430.82961516345847)"
80,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0080_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0080_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0080_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0080_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([161.62867647]), array([247.86764706]))",[0.91140222],"(603.1507502863956, 541.0262336990746)"
82,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0082_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0082_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0082_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0082_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([110.62]), array([142.344]))",[0.95183252],"(423.4870368376635, 292.47385915147015)"
85,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0085_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0085_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0085_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0085_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([133.10067114]), array([153.39597315]))",[0.86858313],"(421.0154805245728, 357.9760099770034)"
87,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0087_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0087_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0087_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0087_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([160.57068063]), array([169.83769634]))",[0.92603676],"(424.75914407270557, 441.66373471535724)"
90,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0090_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0090_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0090_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0090_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([123.31451613]), array([180.54032258]))",[0.88993111],"(495.68589963313855, 369.15583874788155)"
92,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0092_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0092_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0092_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0092_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([136.38248848]), array([156.84792627]))",[0.93085562],"(424.888902693788, 369.8220419279856)"
93,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0093_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0093_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0093_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0093_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([145.76106195]), array([159.36725664]))",[0.89918494],"(419.04129762747726, 394.5506553662025)"
95,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0095_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0095_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0095_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0095_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([151.67676768]), array([126.37878788]))",[0.81094104],"(335.71938736363063, 367.1976942017873)"
96,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0096_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0096_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0096_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0096_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([123.73553719]), array([148.6446281]))",[0.95848972],"(421.7059806757945, 330.50582279214774)"
